tll_id,tll_name,tll_brand,tll_category,historical_map_status,historical_shopify_product_id,historical_shopify_variant_id,supplier_sku,supplier_feed_name,supplier_feed_size,supplier_feed_barcode,supplier_feed_tax_flag,historical_retail_gbp,supplier_feed_price_gbp,supplier_nutrition_text_present,review_flags
251391d2-0064-4c7e-8c51-05dc2bd41559,Ultra Whey,Sci-MX,whey,MAPPED_2026-09-14_UNVERIFIED,16037754306890,63535202795850,SMX001,Sci-MX Ultra Whey 800g Chocolate,800g,5050028271215,VAT,39.99,15.00,YES,LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
2567a955-be92-4f70-b147-f908fa80650c,EssentialMax,Strom Sports Nutrition,eaas,MAPPED_2026-09-14_UNVERIFIED,16033589592394,63506386223434,STM008,Strom Sports EssentialMAX EAA  450g Strawberry Kiwi,450g,5060549918520,VAT,34.95,19.28,YES,MULTIPLE_TLL_IDS_TO_ONE_VARIANT|LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
259e8f60-1171-4f57-9483-2713b7980792,Vitamin D3 4000iu + K2,Nutrition Geeks,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
29022b90-a6b3-493a-8afd-a5a14eb17251,Essential Amino,Conteh Sports,intra-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
290eb8dc-d5a7-4b25-a029-a145bfcc12f3,Life Pac / Life Support,Naughty Boy,cycle-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
29f1d6fb-5e8f-4c9e-b9a9-9c2a5af1c58b,Alpha Shield,Alpha Club,cycle-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
2acd08ed-de53-48a5-8eee-35a8e9fb585a,Omni-MX Hardcore,Sci-MX,post-workout,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
2b3e6bc9-bac1-4ac5-9e97-dc657c9c86c4,Ashwagandha,SuperDosed,hormone-support,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
2b640b72-29de-4998-9aa7-3adaadeca813,Protein Cookie,Bulk,protein-bar,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
2c3efc39-8ce7-4905-966c-bdaaa927cd06,Complete Daily Multivitamin,MyProtein,multivitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
2c665fd3-91de-45de-8a0d-96b8a0cd06b7,100% Premium Micellar Casein,USN,casein,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
3099922b-46a2-4767-87ee-3359e47729b5,Micronised Creatine Powder,Optimum Nutrition,creatine,MAPPED_2026-09-14_UNVERIFIED,16033576845642,63506302042442,OPT107,Optimum Nutrition Micronised Creatine 317g,317g,5060245605397,VAT,20.0,13.60,YES,LIVE_SHOPIFY_AND_EXACT_LABEL_NOT_VERIFIED
31d19045-0da2-4430-83a8-471f1d45507c,Magnesium Bisglycinate,Supplement Needs,vitamin,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
33e5af20-6716-4951-bbb4-944fb9ae3d68,Ghost Amino,Ghost Lifestyle,eaas,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
3457e148-ef53-4197-b48b-33b5d961078b,Meal Replacement Drink (Chocolate),Saturo,meal-replacement,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
36c26496-67e9-40d2-9691-4ec2f1e7d234,Creapure,Bulk,creatine,UNMAPPED_IN_2026-09-14_FILE,,,,,,,,,,,NO_HISTORICAL_SHOPIFY_MAP
